Country,Date,Cases,Deaths,Summary,Bordering Countries
12,2005-02-07,60,5.0,"This week, 3 new districts reached the Alert threshold : Diebougou in Burkina Faso (5 cases and 1 death, with AR = 5.3) Pô in Burkina Faso (12 cases and 0 death, with AR = 7.6) Basila in Benin (5 cases and 0 death, with AR = 6.1) Diebougou was vaccinated in 2004 with bivalent (AC) vaccine. Pô was vaccinated in 2003 with trivalent ACW vaccine. In Batié, which reached the epidemic threshold at week 5, from 13 CSF specimen collected, 8 are positive to NmA. Batié was vaccinated in 2003 with the bivalent vaccine (AC).Burkina Faso: Batié counts 11 cases with 1 death (attack rate=17.4) Côte d'Ivoire: Bouna district (in the north east) is declared in epidemic since week 04/2005. The data are not yet received. Notice that Bouna is a neighbouring district of Batié (see the map).In Burkina Faso: Batie is always in epidemic (15 cases: 15, 2 deaths with A.R: 28.8). 5 Nm.A, coming from this district and were identified by Pastorex. Two districts reached the alert threshold: Diebougou (5 cases, 2 death with A.R: 5.3) and Nanoro (7 cases, 1 death with A.R: 5.3) NB: Diébougou had already reached the alert threshold at week 6.Batié district in Burkina remained in epidemic with 7 cases without death and an attack rate of 11 cases for 100 000 inhabitants. The outbreak of Bouna district in Côte d’Ivoire, announced last week, is officially declared by the authorities. 10 cases and 2 deaths were reported for February 21st-27th, 2005 (week 8). Bongor district in Chad crossed epidemic threshold during week 9 (54 cases and 3 deaths with an attack rate of 22 cases for 100 000 inhabitants).","[14, 1, 5, 8, 13, 17]"
14,2005-02-07,45,8.0,"This week, 3 new districts reached the Alert threshold : Diebougou in Burkina Faso (5 cases and 1 death, with AR = 5.3) Pô in Burkina Faso (12 cases and 0 death, with AR = 7.6) Basila in Benin (5 cases and 0 death, with AR = 6.1) Diebougou was vaccinated in 2004 with bivalent (AC) vaccine. Pô was vaccinated in 2003 with trivalent ACW vaccine. In Batié, which reached the epidemic threshold at week 5, from 13 CSF specimen collected, 8 are positive to NmA. Batié was vaccinated in 2003 with the bivalent vaccine (AC).","[0, 15, 1, 12, 22]"
16,2005-02-07,680,102.0,"This week, 3 new districts reached the Alert threshold : Diebougou in Burkina Faso (5 cases and 1 death, with AR = 5.3) P in Burkina Faso (12 cases and 0 death, with AR = 7.6) Basila in Benin (5 cases and 0 death, with AR = 6.1) Diebougou was vaccinated in 2004 with bivalent (AC) vaccine. Pô was vaccinated in 2003 with trivalent ACW vaccine. In Batié, which reached the epidemic threshold at week 5, from 13 CSF specimen collected, 8 are positive to NmA. Batié was vaccinated in 2003 with the bivalent vaccine (AC).Burkina Faso: Batié counts 11 cases with 1 death (attack rate=17.4) Côte d'Ivoire: Bouna district (in the north east) is declared in epidemic since week 04/2005. The data are not yet received. Notice that Bouna is a neighbouring district of Batié (see the map).In Burkina Faso: Batie is always in epidemic (15 cases: 15, 2 deaths with A.R: 28.8). 5 Nm.A, coming from this district and were identified by Pastorex. Two districts reached the alert threshold: Diebougou (5 cases, 2 death with A.R: 5.3) and Nanoro (7 cases, 1 death with A.R: 5.3) NB: Diébougou had already reached the alert threshold at week 6.Batié district in Burkina remained in epidemic with 7 cases without death and an attack rate of 11 cases for 100 000 inhabitants. The outbreak of Bouna district in Côte d’Ivoire, announced last week, is officially declared by the authorities. 10 cases and 2 deaths were reported for February 21st-27th, 2005 (week 8). Bongor district in Chad crossed epidemic threshold during week 9 (54 cases and 3 deaths with an attack rate of 22 cases for 100 000 inhabitants).","[2, 4, 18, 21, 24]"
22,2005-02-07,95,6.0,"This week, 3 new districts reached the Alert threshold : Diebougou in Burkina Faso (5 cases and 1 death, with AR = 5.3) Pô in Burkina Faso (12 cases and 0 death, with AR = 7.6) Basila in Benin (5 cases and 0 death, with AR = 6.1) Diebougou was vaccinated in 2004 with bivalent (AC) vaccine. Pô was vaccinated in 2003 with trivalent ACW vaccine. In Batié, which reached the epidemic threshold at week 5, from 13 CSF specimen collected, 8 are positive to NmA. Batié was vaccinated in 2003 with the bivalent vaccine (AC).Burkina Faso: Batié counts 11 cases with 1 death (attack rate=17.4) Côte d'Ivoire: Bouna district (in the north east) is declared in epidemic since week 04/2005. The data are not yet received. Notice that Bouna is a neighbouring district of Batié (see the map).Batié district in Burkina remained in epidemic with 7 cases without death and an attack rate of 11 cases for 100 000 inhabitants. The outbreak of Bouna district in Côte d’Ivoire, announced last week, is officially declared by the authorities. 10 cases and 2 deaths were reported for February 21st-27th, 2005 (week 8). Bongor district in Chad crossed epidemic threshold during week 9 (54 cases and 3 deaths with an attack rate of 22 cases for 100 000 inhabitants).","[19, 4, 3, 14, 15]"
23,2005-02-07,18,2.0,"This week, 3 new districts reached the Alert threshold : Diebougou in Burkina Faso (5 cases and 1 death, with AR = 5.3) Pô in Burkina Faso (12 cases and 0 death, with AR = 7.6) Basila in Benin (5 cases and 0 death, with AR = 6.1) Diebougou was vaccinated in 2004 with bivalent (AC) vaccine. Pô was vaccinated in 2003 with trivalent ACW vaccine. In Batié, which reached the epidemic threshold at week 5, from 13 CSF specimen collected, 8 are positive to NmA. Batié was vaccinated in 2003 with the bivalent vaccine (AC).","[7, 1, 0, 8]"
5,2005-02-07,28,1.0,"Burkina Faso: Batié counts 11 cases with 1 death (attack rate=17.4) Côte d'Ivoire: Bouna district (in the north east) is declared in epidemic since week 04/2005. The data are not yet received. Notice that Bouna is a neighbouring district of Batié (see the map).Batié district in Burkina remained in epidemic with 7 cases without death and an attack rate of 11 cases for 100 000 inhabitants. The outbreak of Bouna district in Côte d’Ivoire, announced last week, is officially declared by the authorities. 10 cases and 2 deaths were reported for February 21st-27th, 2005 (week 8). Bongor district in Chad crossed epidemic threshold during week 9 (54 cases and 3 deaths with an attack rate of 22 cases for 100 000 inhabitants).","[7, 12, 1]"
7,2005-02-07,91,18.0,"Burkina Faso: Batié counts 11 cases with 1 death (attack rate=17.4) Côte d'Ivoire: Bouna district (in the north east) is declared in epidemic since week 04/2005. The data are not yet received. Notice that Bouna is a neighbouring district of Batié (see the map).In Burkina Faso: Batie is always in epidemic (15 cases: 15, 2 deaths with A.R: 28.8). 5 Nm.A, coming from this district and were identified by Pastorex. Two districts reached the alert threshold: Diebougou (5 cases, 2 death with A.R: 5.3) and Nanoro (7 cases, 1 death with A.R: 5.3) NB: Diébougou had already reached the alert threshold at week 6","[8, 5, 1, 23]"
0,2005-03-07,9,3.0,Batié district in Burkina remained in epidemic with 9 cases without death and an attack rate of 14 cases for 100 000 inhabitants.Bongor district in Chad is in epidemic with 32 cases with 2 deaths and an attack rate of 13 cases per 100 000 inhabitants. Kelo district crossed the alert threshold with 14 cases without death and an attack rate of 6 cases per 100 000 inhabitants Nigeria: data have been updated.The epidemiological situation is calm in countries having sent weekly reports.,"[23, 15, 14, 1]"
1,2005-03-07,427,95.0,Batié district in Burkina remained in epidemic with 9 cases without death and an attack rate of 14 cases for 100 000 inhabitants.Bongor district in Chad is in epidemic with 32 cases with 2 deaths and an attack rate of 13 cases per 100 000 inhabitants. Kelo district crossed the alert threshold with 14 cases without death and an attack rate of 6 cases per 100 000 inhabitants Nigeria: data have been updated.The epidemiological situation is calm in countries having sent weekly reports.,"[12, 14, 0, 23, 7, 5]"
7,2005-03-07,26,7.0,Batié district in Burkina remained in epidemic with 9 cases without death and an attack rate of 14 cases for 100 000 inhabitants.Bongor district in Chad is in epidemic with 32 cases with 2 deaths and an attack rate of 13 cases per 100 000 inhabitants. Kelo district crossed the alert threshold with 14 cases without death and an attack rate of 6 cases per 100 000 inhabitants Nigeria: data have been updated.The epidemiological situation is calm in countries having sent weekly reports.,"[8, 5, 1, 23]"
12,2005-03-07,21,0.0,Batié district in Burkina remained in epidemic with 9 cases without death and an attack rate of 14 cases for 100 000 inhabitants.,"[14, 1, 5, 8, 13, 17]"
16,2005-03-07,399,50.0,Batié district in Burkina remained in epidemic with 9 cases without death and an attack rate of 14 cases for 100 000 inhabitants.Bongor district in Chad is in epidemic with 32 cases with 2 deaths and an attack rate of 13 cases per 100 000 inhabitants. Kelo district crossed the alert threshold with 14 cases without death and an attack rate of 6 cases per 100 000 inhabitants Nigeria: data have been updated.The epidemiological situation is calm in countries having sent weekly reports.,"[2, 4, 18, 21, 24]"
14,2005-03-07,99,9.0,Bongor district in Chad is in epidemic with 32 cases with 2 deaths and an attack rate of 13 cases per 100 000 inhabitants. Kelo district crossed the alert threshold with 14 cases without death and an attack rate of 6 cases per 100 000 inhabitants Nigeria: data have been updated.The epidemiological situation is calm in countries having sent weekly reports.,"[0, 15, 1, 12, 22]"
15,2005-03-07,24,1.0,Bongor district in Chad is in epidemic with 32 cases with 2 deaths and an attack rate of 13 cases per 100 000 inhabitants. Kelo district crossed the alert threshold with 14 cases without death and an attack rate of 6 cases per 100 000 inhabitants Nigeria: data have been updated.The epidemiological situation is calm in countries having sent weekly reports.,"[0, 3, 14, 22]"
22,2005-03-07,80,5.0,Bongor district in Chad is in epidemic with 32 cases with 2 deaths and an attack rate of 13 cases per 100 000 inhabitants. Kelo district crossed the alert threshold with 14 cases without death and an attack rate of 6 cases per 100 000 inhabitants Nigeria: data have been updated,"[19, 4, 3, 14, 15]"
23,2005-03-07,2,1.0,Bongor district in Chad is in epidemic with 32 cases with 2 deaths and an attack rate of 13 cases per 100 000 inhabitants. Kelo district crossed the alert threshold with 14 cases without death and an attack rate of 6 cases per 100 000 inhabitants Nigeria: data have been updated.The epidemiological situation is calm in countries having sent weekly reports.,"[7, 1, 0, 8]"
0,2005-04-04,6,1.0,"Ethiopia: Oda Bildigilu Woredas (district), which reached the epidemic threshold at week 12, is still in epidemic phase, - In the other countries having sent weekly data, the situation is calm.Maradi district in Niger crossed alert threshold during week 15 (12 cases and 0.0 death with an attack rate of 7.4 cases for 100 000 inhabitants).Two districts in Niger have crossed the alert threshold : Maradi with 12, (0 death) and an attack rate of 7.4 cases per 100 000 inhabitants; Abalak with 8 cases (0 death) and an attack rate of 8.7 cases per 100 000 inhabitants","[23, 15, 14, 1]"
1,2005-04-04,407,88.0,"Ethiopia: Oda Bildigilu Woredas (district), which reached the epidemic threshold at week 12, is still in epidemic phase, - In the other countries having sent weekly data, the situation is calm.Maradi district in Niger crossed alert threshold during week 15 (12 cases and 0.0 death with an attack rate of 7.4 cases for 100 000 inhabitants).Two districts in Niger have crossed the alert threshold : Maradi with 12, (0 death) and an attack rate of 7.4 cases per 100 000 inhabitants; Abalak with 8 cases (0 death) and an attack rate of 8.7 cases per 100 000 inhabitants.The two districts of Niger are stil in alerte phase: - Maradi with 9 cases (0 death) and an attack rate of 5.6 cases per 100 000 inhabitants - Abalak with 5 cases (0 death) and an attack rate of 5.5 cases per 100 000 inhabitants.","[12, 14, 0, 23, 7, 5]"
6,2005-04-04,19,1.0,"Ethiopia: Oda Bildigilu Woredas (district), which reached the epidemic threshold at week 12, is still in epidemic phase, - In the other countries having sent weekly data, the situation is calm.Two districts in Niger have crossed the alert threshold : Maradi with 12, (0 death) and an attack rate of 7.4 cases per 100 000 inhabitants; Abalak with 8 cases (0 death) and an attack rate of 8.7 cases per 100 000 inhabitants.The two districts of Niger are stil in alerte phase: - Maradi with 9 cases (0 death) and an attack rate of 5.6 cases per 100 000 inhabitants - Abalak with 5 cases (0 death) and an attack rate of 5.5 cases per 100 000 inhabitants.","[19, 18, 11]"
12,2005-04-04,58,1.0,"Ethiopia: Oda Bildigilu Woredas (district), which reached the epidemic threshold at week 12, is still in epidemic phase, - In the other countries having sent weekly data, the situation is calm.Maradi district in Niger crossed alert threshold during week 15 (12 cases and 0.0 death with an attack rate of 7.4 cases for 100 000 inhabitants).Two districts in Niger have crossed the alert threshold : Maradi with 12, (0 death) and an attack rate of 7.4 cases per 100 000 inhabitants; Abalak with 8 cases (0 death) and an attack rate of 8.7 cases per 100 000 inhabitants.The two districts of Niger are stil in alerte phase: - Maradi with 9 cases (0 death) and an attack rate of 5.6 cases per 100 000 inhabitants - Abalak with 5 cases (0 death) and an attack rate of 5.5 cases per 100 000 inhabitants.","[14, 1, 5, 8, 13, 17]"
16,2005-04-04,475,74.0,"Ethiopia: Oda Bildigilu Woredas (district), which reached the epidemic threshold at week 12, is still in epidemic phase, - In the other countries having sent weekly data, the situation is calm.Two districts in Niger have crossed the alert threshold : Maradi with 12, (0 death) and an attack rate of 7.4 cases per 100 000 inhabitants; Abalak with 8 cases (0 death) and an attack rate of 8.7 cases per 100 000 inhabitants.The two districts of Niger are stil in alerte phase: - Maradi with 9 cases (0 death) and an attack rate of 5.6 cases per 100 000 inhabitants - Abalak with 5 cases (0 death) and an attack rate of 5.5 cases per 100 000 inhabitants.","[2, 4, 18, 21, 24]"
23,2005-04-04,27,5.0,"Ethiopia: Oda Bildigilu Woredas (district), which reached the epidemic threshold at week 12, is still in epidemic phase, - In the other countries having sent weekly data, the situation is calm.Maradi district in Niger crossed alert threshold during week 15 (12 cases and 0.0 death with an attack rate of 7.4 cases for 100 000 inhabitants).Two districts in Niger have crossed the alert threshold : Maradi with 12, (0 death) and an attack rate of 7.4 cases per 100 000 inhabitants; Abalak with 8 cases (0 death) and an attack rate of 8.7 cases per 100 000 inhabitants","[7, 1, 0, 8]"
5,2005-04-04,18,4.0,"Maradi district in Niger crossed alert threshold during week 15 (12 cases and 0.0 death with an attack rate of 7.4 cases for 100 000 inhabitants).Two districts in Niger have crossed the alert threshold : Maradi with 12, (0 death) and an attack rate of 7.4 cases per 100 000 inhabitants; Abalak with 8 cases (0 death) and an attack rate of 8.7 cases per 100 000 inhabitants.The two districts of Niger are stil in alerte phase: - Maradi with 9 cases (0 death) and an attack rate of 5.6 cases per 100 000 inhabitants - Abalak with 5 cases (0 death) and an attack rate of 5.5 cases per 100 000 inhabitants.","[7, 12, 1]"
14,2005-04-04,222,11.0,"Maradi district in Niger crossed alert threshold during week 15 (12 cases and 0.0 death with an attack rate of 7.4 cases for 100 000 inhabitants).Two districts in Niger have crossed the alert threshold : Maradi with 12, (0 death) and an attack rate of 7.4 cases per 100 000 inhabitants; Abalak with 8 cases (0 death) and an attack rate of 8.7 cases per 100 000 inhabitants.The two districts of Niger are stil in alerte phase: - Maradi with 9 cases (0 death) and an attack rate of 5.6 cases per 100 000 inhabitants - Abalak with 5 cases (0 death) and an attack rate of 5.5 cases per 100 000 inhabitants.","[0, 15, 1, 12, 22]"
1,2005-05-02,122,28.0,"The district of Oum Hadjer, in Chad reached the alert threshold at week 18, with 7 cases, no death, and an attack rate of 5.3 cases per 100 000 inhabitants.Situation Chad:  Alert district : Iriba with 3 cases, no death and an attack rate of 6.9 cases per 100 000 inhabitants. Alert district: Iriba with 3 cases, no death and an attack rate of 6.9 cases per 100 000 inhabitants.  Epidemic districts :  Faya with 7 cases, 1 death and an attack rate of 13.4 cases per 100 000 inhabitants.   Biltine with 12 cases, 2 deaths and an attack rate of 10.1 cases per 100 000 inhabitants.","[12, 14, 0, 23, 7, 5]"
12,2005-05-02,27,1.0,"The district of Oum Hadjer, in Chad reached the alert threshold at week 18, with 7 cases, no death, and an attack rate of 5.3 cases per 100 000 inhabitants.Situation Chad:  Alert district : Iriba with 3 cases, no death and an attack rate of 6.9 cases per 100 000 inhabitants. Alert district: Iriba with 3 cases, no death and an attack rate of 6.9 cases per 100 000 inhabitants.  Epidemic districts :  Faya with 7 cases, 1 death and an attack rate of 13.4 cases per 100 000 inhabitants.   Biltine with 12 cases, 2 deaths and an attack rate of 10.1 cases per 100 000 inhabitants.","[14, 1, 5, 8, 13, 17]"
14,2005-05-02,58,9.0,"The district of Oum Hadjer, in Chad reached the alert threshold at week 18, with 7 cases, no death, and an attack rate of 5.3 cases per 100 000 inhabitants.Situation Chad:  Alert district : Iriba with 3 cases, no death and an attack rate of 6.9 cases per 100 000 inhabitants. Alert district: Iriba with 3 cases, no death and an attack rate of 6.9 cases per 100 000 inhabitants.  Epidemic districts :  Faya with 7 cases, 1 death and an attack rate of 13.4 cases per 100 000 inhabitants.   Biltine with 12 cases, 2 deaths and an attack rate of 10.1 cases per 100 000 inhabitants.","[0, 15, 1, 12, 22]"
22,2005-05-02,53,6.0,"The district of Oum Hadjer, in Chad reached the alert threshold at week 18, with 7 cases, no death, and an attack rate of 5.3 cases per 100 000 inhabitants.Situation Chad:  Alert district : Iriba with 3 cases, no death and an attack rate of 6.9 cases per 100 000 inhabitants. Alert district: Iriba with 3 cases, no death and an attack rate of 6.9 cases per 100 000 inhabitants.  Epidemic districts :  Faya with 7 cases, 1 death and an attack rate of 13.4 cases per 100 000 inhabitants.   Biltine with 12 cases, 2 deaths and an attack rate of 10.1 cases per 100 000 inhabitants.","[19, 4, 3, 14, 15]"
1,2006-01-02,833,141.0,"The districts of Guidan-Roumji in Niger and Doufelgou in Togo are in alert phase.There is no district in alert or epidemic phase at week 2 from the reporting countries. However, we received from Nigeria the following information: - In Taraba State, 19 cases with 2 deaths - In Karim lamido LGA with 183,365 population, 9 cases, no deaths, were reported in Pitiko village of 500 population. - In Jalingo LGA 10 cases with 2 deaths were reported between 10-17 January. However, none of the cases was confirmed. Efforts are now geared towards confirmation of cases before mass immunization. - In Wurno, LGA of Sokoto State, 7 cases of meningitis. NmA identified. We are in contact with the country to get the results of the investigations as soon as possible.In Burkina Faso, two districts are in alert at week 3 : o Solenzo with 15 cases and 1 death. The attack rate is 5.2 per 100 000 population. Laboratory identification: 2 GND and 9 GPD o Secteur 15 of Bobo with 30 cases and 3 deaths. The attack rate is 7.8 per 100 000 population. Laboratory identification: 2 GND.In Burkina Faso: Two districts are in alert and 1 in epidemic phase at week 4: - Secteur 15 Bobo with 32 cases and 3 deaths; an attack rate of 8.3 per 100 000 inhabitants. Dano with 14 cases and 1 death; an attack rate of 7.1 per 100 000 inhabitants.  Solenzo with 41 cases and 6 deaths; an attack rate of 14.1 per 100 000 inhabitants. The following germs were identified:  Niger : 3 NmA and 4 S. pneumonia.  Mali : 1 S. pneumoniae and 4 Hib. .In Burkina Faso : Three districts are in alert phase : Dano with an attack rate of 9.2 cases per 100 000 inhabitants. Gourcy with an attack rate of 8.7 cases per 100 000 inhabitants.  Gaoua with an attack rate of 6.1 cases per 100 000 inhabitants. Solenzo with an attack rate of 8.9 cases per 100 000 inhabitants. One district in epidemic phase : Secteur 15 of Bobo-Dioulasso with an attack rate of 19.5 cases per 100 000 inhabitants. In Benin two districts are in alert phase : Toucountouna with an attack rate of 5.8 cases per 100 000 inhabitants. - Boukoumbé with an attack rate of 6.5 cases per 100 000 inhabitants","[12, 14, 0, 23, 7, 5]"
