Date,Cases,Deaths,Temperature,Rainfall
6/1/09,37,4,30.0001,113.951
6/8/09,24,4,30.0001,113.951
6/15/09,17,6,30.0001,113.951
6/22/09,20,3,30.0001,113.951
6/29/09,94,10,28.9834,163.984
8/3/09,38,5,27.1193,236.102
8/31/09,46,5,27.1193,177.277
9/28/09,85,20,27.603,177.277
11/2/09,144,27,27.5253,2.63027
11/29/09,276,44,27.5253,2.63027
12/29/09,105,12,25.7336,0.07236
1/4/10,103,22,26.4157,0.0218
1/11/10,138,23,26.4157,0.0218
1/18/10,194,14,26.4157,0.0218
1/25/10,210,36,26.4157,0.0218
2/1/10,304,51,30.7993,0.9378
2/8/10,302,47,30.7993,0.9378
2/15/10,345,53,30.7993,0.9378
2/22/10,284,52,30.7993,0.9378
3/1/10,308,38,32.519,0.98062
3/8/10,332,42,32.519,0.98062
3/15/10,441,50,32.519,0.98062
3/22/10,382,52,32.519,0.98062
3/29/10,484,64,32.519,32.9703
4/5/10,594,86,33.6351,32.9703
4/12/10,677,88,33.6351,32.9703
4/19/10,383,57,33.6351,32.9703
4/26/10,166,15,33.6351,32.9703
5/3/10,117,17,32.5112,32.2805
5/10/10,88,12,32.5112,32.2805
5/17/10,54,11,32.5112,32.2805
5/24/10,53,10,32.5112,32.2805
5/31/10,50,2,29.9565,100.722
6/7/10,32,7,29.9565,100.722
6/14/10,22,2,29.9565,100.722
6/21/10,32,5,29.9565,100.722
6/28/10,25,5,29.9565,100.722
7/5/10,67,2,27.6955,166.876
8/2/10,77,9,26.7206,235.802
8/30/10,56,5,27.082,182.449
10/4/10,57,8,28.6268,75.811
11/1/10,90,8,28.8378,0.36802
11/29/10,222,53,25.7336,0.06689
1/3/11,67,14,25.486,0.00448
1/10/11,107,27,25.486,0.00448
1/17/11,128,21,25.486,0.00448
1/24/11,115,12,25.486,0.00448
1/31/11,150,34,28.7174,2.01688
2/7/11,144,20,28.7174,2.01688
2/14/11,164,34,28.7174,2.01688
2/21/11,184,34,28.7174,2.01688
2/28/11,184,37,32.8789,8.90897
3/7/11,235,45,32.8789,8.90897
3/14/11,166,20,32.8789,8.90897
3/21/11,136,19,32.8789,8.90897
3/28/11,122,22,32.8789,8.90897
4/4/11,118,16,32.8187,27.8855
4/11/11,137,20,32.8187,27.8855
4/18/11,116,13,32.8187,27.8855
4/25/11,100,27,32.8187,27.8855
5/2/11,78,13,32.3951,49.6776
5/9/11,62,7,32.3951,49.6776
5/16/11,68,14,32.3951,49.6776
5/23/11,42,6,32.3951,49.6776
5/30/11,41,3,30.0795,91.986
6/6/11,40,4,30.0795,91.986
6/13/11,40,5,30.0795,91.986
6/20/11,45,7,30.0795,91.986
6/27/11,35,2,30.0795,91.986
7/4/11,180,20,27.9169,161.759
8/1/11,150,17,26.807,205.62
8/29/11,165,15,26.807,136.963
10/3/11,133,15,29.5094,42.2418
10/31/11,151,17,28.2129,0.34307
1/2/12,62,6,24.7083,0.02539
1/9/12,69,9,24.7083,0.02539
1/16/12,96,14,24.7083,0.02539
1/23/12,122,19,24.7083,0.02539
1/30/12,119,12,28.5176,0.78583
2/6/12,153,15,28.5176,0.78583
2/13/12,210,26,28.5176,0.78583
2/20/12,315,35,28.5176,0.78583
2/27/12,390,35,31.1551,2.47273
3/5/12,425,40,31.1551,2.47273
3/12/12,450,44,31.1551,2.47273
3/19/12,584,47,31.1551,2.47273
3/26/12,630,72,31.1551,2.47273
4/2/12,694,84,32.7339,38.4298
4/9/12,487,44,32.7339,38.4298
4/16/12,261,29,32.7339,38.4298
4/23/12,228,21,32.7339,38.4298
4/30/12,135,16,31.6153,69.1316
5/7/12,123,20,31.6153,69.1316
5/14/12,87,10,31.6153,69.1316
5/21/12,69,13,31.6153,69.1316
5/28/12,44,4,31.6153,69.1316
6/4/12,60,8,29.495,94.2336
6/18/12,60,5,29.495,94.2336
6/25/12,45,4,29.495,94.2336
7/30/12,352,24,26.533,260.116
10/1/12,129,6,29.0988,38.7124
10/29/12,189,16,29.3909,3.95419
12/3/12,160,20,26.0662,0.76422
1/7/13,71,10,25.1947,0.03863
1/14/13,102,14,25.1947,0.03863
1/21/13,71,16,25.1947,0.03863
1/28/13,104,8,25.1947,0.03863
2/4/13,106,15,28.2912,0.37879
2/11/13,104,11,28.2912,0.37879
2/18/13,137,18,28.2912,0.37879
2/25/13,194,31,28.2912,0.37879
3/4/13,196,22,32.7163,9.34262
3/11/13,185,17,32.7163,9.34262
3/18/13,129,10,32.7163,9.34262
3/25/13,107,6,32.7163,9.34262
4/1/13,51,5,32.1793,54.4869
4/8/13,75,4,32.1793,54.4869
4/15/13,82,15,32.1793,54.4869
4/29/13,36,5,32.1793,54.6556
5/6/13,55,8,32.2826,54.6556
5/13/13,35,9,32.2826,54.6556
5/20/13,44,8,32.2826,54.6556
5/27/13,38,6,32.2826,54.6556
6/3/13,32,6,30.2562,85.7092
6/10/13,28,1,30.2562,85.7092
6/17/13,24,0,30.2562,85.7092
6/24/13,19,0,30.2562,85.7092
7/1/13,72,8,27.6985,173.297
7/29/13,98,6,27.6985,173.297
9/2/13,96,9,27.4898,116.936
10/30/13,146,17,28.7269,3.40778
11/4/13,163,10,28.7269,3.40778
12/2/13,197,28,25.5268,0.2765
1/1/14,88,13,26.7283,2.66226
1/6/14,97,9,26.7283,2.66226
1/13/14,100,7,26.7283,2.66226
1/20/14,100,11,26.7283,2.66226
1/27/14,99,16,26.7283,2.66226
2/3/14,76,6,28.1943,0.15829
2/10/14,127,12,28.1943,0.15829
2/17/14,129,9,28.1943,0.15829
2/24/14,141,15,28.1943,0.15829
3/3/14,164,15,31.0998,10.4889
3/10/14,186,18,31.0998,10.4889
3/17/14,216,29,31.0998,10.4889
3/24/14,197,18,31.0998,10.4889
3/31/14,166,17,32.8836,48.8972
4/7/14,163,18,32.8836,48.8972
4/14/14,135,20,32.8836,48.8972
4/21/14,104,11,32.8836,48.8972
4/28/14,84,13,32.8836,48.8972
5/5/14,66,6,31.5516,62.0859
5/12/14,47,4,31.5516,62.0859
5/19/14,45,8,31.5516,62.0859
6/2/14,44,4,30.3017,113.813
6/9/14,27,0,30.3017,113.813
6/16/14,27,3,30.3017,113.813
6/23/14,34,1,30.3017,113.813
6/30/14,143,11,28.2404,158.693
8/4/14,155,10,26.9623,216.241
9/1/14,101,4,27.1374,178.753
9/29/14,140,10,29.2983,49.1649
11/3/14,25,2,28.9988,6.45282
12/1/14,118,21,26.007,0.10331
12/31/14,47,7,26.007,0.10331
1/5/15,50,2,24.7067,0.00572
1/19/15,58,5,24.7067,0.00572
1/26/15,76,10,24.7067,0.00572
2/2/15,89,7,29.3357,7.16171
2/9/15,104,17,29.3357,7.16171
2/23/15,91,8,29.3357,7.16171
3/2/15,86,9,31.2585,4.1542
3/9/15,109,10,31.2585,4.1542
3/16/15,138,18,31.2585,4.1542
3/23/15,122,13,31.2585,4.1542
3/30/15,91,11,33.0199,2.68815
4/6/15,130,13,33.0199,2.68815
4/13/15,121,11,33.0199,2.68815
4/20/15,123,15,33.0199,2.68815
4/27/15,117,17,33.0199,2.68815
5/4/15,118,18,33.5077,40.2411
5/11/15,90,7,33.5077,40.2411
5/18/15,68,6,33.5077,40.2411
5/25/15,56,6,33.5077,40.2411
6/1/15,39,3,30.8223,83.5477
6/8/15,27,1,30.8223,83.5477
6/15/15,36,6,30.8223,83.5477
6/22/15,19,3,30.8223,83.5477
6/29/15,120,7,30.8223,170.085
8/3/15,112,11,26.6816,285.25
8/31/15,64,4,28.1629,130.023
9/28/15,140,9,28.1629,130.023
11/2/15,127,11,28.1914,1.56747
11/30/15,216,14,24.159,0.92354
